x_c y_c z_c
0.981018 0.103996 0.163671
-0.496575 -0.811093 0.309097
0.273699 0.115044 0.95491
-0.855087 0.126243 -0.50288
-0.272028 0.223944 -0.935869
0.223457 0.734939 -0.640259
0.607437 -0.264546 0.749024
0.870818 -0.442928 -0.213287
-0.145969 0.587222 -0.796155
-0.879343 0.040812 -0.474437
-0.533654 0.845677 0.00666123
-0.986036 -0.108433 -0.126397
-0.457438 -0.799 0.390319
-0.327172 -0.944755 0.0199206
-0.867748 0.377057 -0.323793
-0.207892 -0.952289 0.223441
0.954413 0.0911526 0.28423
-0.907138 0.323241 0.269473
-0.486273 0.318397 0.813733
-0.445523 -0.707 -0.549237
0.599522 0.529867 0.599846
-0.758709 0.637153 -0.135635
-0.0362199 -0.972725 -0.229117
-0.18942 -0.0578883 0.980188
-0.863305 -0.190921 0.467176
-0.344307 -0.221884 -0.912261
0.490045 -0.00741225 0.871666
-0.895322 -0.401876 0.192077
0.357888 0.646869 0.673406
-0.256431 0.651976 0.713561
0.660159 -0.599181 -0.452959
-0.681426 0.192549 -0.706104
-0.503235 -0.571698 0.648009
0.626823 0.204446 -0.751861
0.234373 0.281326 0.930551
0.697527 -0.152332 -0.70018
0.31411 -0.786593 0.531607
-0.00591684 0.580235 -0.814427
0.721169 0.532062 0.443649
-0.300008 0.75134 -0.587778
0.684833 0.317953 -0.655675
0.696262 -0.501063 0.51396
-0.605097 0.282216 -0.744454
0.568263 -0.688278 -0.450945
0.202857 -0.933253 -0.296457
-0.33109 -0.177538 -0.926747
-0.974179 -0.0631741 0.216758
-0.358189 -0.92996 0.0829152
-0.364767 -0.930879 -0.0202153
-0.912716 -0.399776 -0.0844295
-0.66204 -0.66422 -0.347152
0.856664 -0.512946 -0.054886
0.189924 0.502543 -0.843433
0.140373 -0.984496 0.105185
-0.186858 -0.967991 0.167563
-0.614594 0.556947 0.558645
0.0726561 0.799414 0.596371
-0.176906 0.176655 -0.968244
0.0497109 0.821809 -0.56759
0.319623 0.719284 0.616823
0.934501 -0.21884 -0.280744
-0.215165 -0.0914641 0.972285
-0.387042 -0.915462 0.110122
-0.575936 0.811133 0.101793
0.95712 -0.10773 0.268917
0.349651 -0.00692006 -0.936855
0.999189 -0.0153188 0.0372403
0.523018 0.461573 -0.716521
0.645605 0.761547 0.0569258
0.358682 0.419109 0.834083
0.564439 0.29358 -0.771504
0.037509 -0.886097 0.46198
-0.308956 -0.530382 -0.789456
0.0132902 0.484603 0.874633
-0.999184 0.0403 0.00275237
0.299586 -0.494957 -0.815638
-0.202503 0.977356 0.0613795
-0.776478 0.629674 -0.0243256
0.904162 -0.133487 -0.405798
-0.744111 -0.525581 0.412387
0.693026 0.628859 -0.352493
-0.501691 0.336735 -0.796816
-0.62321 0.0199408 -0.7818
0.669061 0.742365 0.0353723
-0.679751 -0.703904 -0.206052
-0.495646 -0.0136703 0.868417
0.138232 -0.984167 0.110938
-0.117821 -0.978511 0.169218
0.801985 0.597306 0.00677988
-0.572089 -0.730988 0.371982
-0.172571 -0.490548 -0.854156
0.152605 0.913082 0.378144
0.226685 -0.94719 -0.226815
0.525694 0.747777 -0.405556
-0.851945 0.523052 0.0246403
0.338131 -0.709674 -0.618086
0.37523 -0.905 -0.200441
-0.253393 0.404753 -0.878617
-0.496171 -0.819096 -0.287918
-0.894829 0.222103 -0.387235
0.72694 0.376858 -0.574053
-0.554988 -0.71384 0.427108
0.292248 0.36722 0.883029
-0.753608 -0.187678 -0.629962
-0.349181 0.490039 0.798708
0.164478 0.810834 0.561689
0.999826 0.00326435 0.0183664
-0.28729 0.162454 -0.943967
-0.347794 -0.164994 0.922939
0.692132 -0.231932 -0.683491
0.914734 0.400939 -0.0501042
-0.571085 -0.71906 0.395999
-0.602967 0.738402 -0.301984
0.865574 0.446002 -0.227735
-0.546418 -0.123664 0.828332
-0.845441 0.27628 -0.457055
0.634301 0.48394 -0.60288
0.336226 0.311637 -0.888726
-0.625644 -0.52669 0.575471
0.808348 0.588704 0.00109166
0.258302 -0.876626 0.405963
-0.96544 -0.145717 0.216083
-0.99708 -0.070703 -0.0288443
0.26831 -0.880904 0.389894
-0.686653 0.660253 -0.304259
0.830869 -0.0430429 0.554801
0.442476 0.890648 -0.104693
-0.0861275 0.599673 0.795597
-0.798361 0.380705 0.466566
-0.0234513 -0.417721 0.908273
-0.634689 0.43271 -0.64026
-0.255442 -0.0757783 0.96385
-0.322573 0.88178 0.344109
0.517614 0.741904 0.426209
0.120715 -0.843255 -0.523783
-0.630909 0.653608 -0.418032
-0.892571 0.411068 -0.185312
-0.559762 0.0283204 -0.828169
0.904837 0.340241 0.255943
-0.538085 0.767949 -0.347446
-0.675155 -0.237263 -0.698479
0.430721 0.833215 -0.346745
-0.892435 -0.425906 0.148875
0.604859 -0.736263 0.303418
0.455482 -0.303431 -0.836938
0.232876 -0.501664 0.833128
-0.366887 0.888265 -0.276369
-0.336486 -0.894803 -0.293437
0.696686 0.337852 -0.632838
0.71667 -0.670041 -0.193466
-0.25881 -0.929488 0.262812
-0.0524478 0.303108 -0.951512
0.189703 -0.957585 -0.216895
-0.00132888 -0.519581 0.85442
-0.288828 0.95149 -0.106042
-0.0204053 -0.63131 -0.775262
0.693268 0.674467 -0.253916
0.987302 0.130011 0.0912792
-0.181874 -0.157545 0.970619
0.757056 0.620196 0.205485
0.827554 -0.485731 0.28146
0.580053 0.463165 0.670087
0.447151 -0.522684 0.725849
0.0547138 0.852769 -0.519415
0.947513 0.0663031 0.312768
0.475381 0.396943 0.785142
-0.446962 -0.0235293 0.894244
-0.214689 -0.482945 0.848924
-0.179636 -0.556831 -0.810969
0.836716 0.536029 -0.112159
-0.914945 -0.140674 0.378267
0.364067 -0.917103 -0.162411
-0.37776 0.771426 0.512054
-0.217221 0.0821027 -0.972663
-0.867988 0.349675 -0.352596
0.634216 -0.631147 -0.446569
-0.0632 -0.635956 0.769134
-0.523431 -0.714462 -0.464289
-0.472149 0.0408311 -0.880573
0.149989 0.720047 0.677522
0.895719 0.221776 -0.385362
-0.0854645 0.31095 0.946576
-0.57012 -0.0971161 -0.815801
-0.855875 0.512587 0.0687943
-0.772367 0.250284 -0.583787
0.702263 -0.635996 -0.3199
0.454891 0.124956 0.881737
-0.925894 0.371899 0.0664229
-0.440529 0.40063 -0.803387
0.30368 0.896617 0.322267
-0.307994 -0.933247 -0.184906
0.902028 -0.257036 -0.346811
0.0790964 -0.761301 -0.643556
-0.374741 -0.927078 0.00977959
0.0512386 -0.490034 -0.870196
-0.330253 0.642788 -0.6912
-0.432702 -0.869027 0.23992
0.469291 -0.828534 0.305445
-0.364476 0.930943 -0.0224111
0.0830268 -0.933123 0.349839
0.381958 -0.0313278 -0.923649
-0.305486 -0.943981 -0.12481
-0.755522 0.12809 0.64248
-0.315463 -0.273452 -0.908684
0.63422 -0.757883 0.152903
-0.573951 0.055119 -0.817032
-0.757603 -0.380846 -0.530089
0.195124 -0.402618 -0.89433
-0.0345123 0.999394 -0.00455699
0.415928 0.861253 0.29197
0.938633 -0.323932 0.118471
-0.911796 0.0549158 -0.406955
-0.496465 -0.49585 -0.712499
-0.878905 0.406558 -0.249474
-0.038126 -0.521789 0.852222
-0.775568 0.010125 -0.631183
0.735847 -0.571186 0.363698
0.812766 -0.153006 0.562139
0.652608 -0.731186 0.198669
-0.567256 -0.361063 0.740172
-0.520923 0.833984 0.181959
-0.749324 -0.341994 0.567057
-0.0896148 0.406805 -0.909109
-0.746379 -0.0243313 0.665076
0.850455 -0.484639 0.204578
0.682242 -0.586949 0.435932
0.0708488 0.893679 -0.443077
-0.368507 0.601577 0.708736
0.533401 0.818159 -0.214707
-0.745522 -0.637269 0.195155
-0.420332 0.535496 -0.732506
0.328336 -0.873982 -0.358262
0.58013 -0.47608 -0.660906
0.443771 -0.221886 -0.868236
0.981207 -0.127776 0.144591
0.6819 -0.711387 -0.170118
0.142108 -0.721251 -0.67794
0.58019 -0.651235 0.489155
0.565961 -0.769737 0.295284
-0.674229 0.716135 0.180461
0.447376 0.886754 0.116284
-0.197848 -0.24694 -0.948618
0.836171 0.182494 -0.517217
-0.583387 0.251655 -0.772224
-0.782828 0.576818 0.233368
0.833192 0.547936 0.0745423
-0.266275 0.293831 -0.91802
0.232047 0.780245 -0.580837
-0.401103 0.725176 -0.559675
-0.437297 -0.597924 0.671757
-0.320346 -0.225032 -0.920184
0.5297 0.212227 0.821205
-0.64009 0.736831 -0.217636
-0.75191 0.546053 0.3694
-0.478135 0.75496 0.448801
0.463278 -0.00829757 0.886174
0.102414 0.193817 -0.975677
-0.000384335 -0.990822 -0.135169
-0.417279 -0.820833 -0.390015
-0.519367 -0.815803 -0.254409
0.883827 0.159421 0.439812
0.497348 0.850861 -0.169353
-0.307038 0.705989 -0.638207
0.380826 -0.734396 -0.561814
-0.504758 -0.692314 0.515675
-0.977714 0.0166917 -0.209276
0.00152968 0.816995 -0.576643
0.312675 0.929205 -0.197009
0.318145 0.172067 -0.932296
0.881918 0.181213 -0.43518
-0.502981 0.791387 -0.347443
0.592896 -0.40981 -0.693203
0.0234995 0.6349 -0.772237
0.608783 0.590692 0.529591
0.371871 -0.566841 -0.735121
-0.616783 -0.128266 -0.776612
-0.591381 0.0643943 -0.803817
0.0252969 -0.221693 -0.974788
0.700852 -0.388225 -0.598404
0.64752 0.701898 0.296745
0.378072 0.630872 0.677541
-0.20457 -0.614663 0.761801
0.19015 0.6157 0.764694
-0.370431 -0.911525 -0.178615
0.804675 -0.485723 0.341426
-0.767659 0.600363 0.224197
0.7473 -0.468333 -0.471389
-0.487958 0.871846 0.0422145
0.981855 0.186992 -0.0315406
0.189911 0.33097 -0.924333
0.0775591 0.729233 -0.679856
0.662231 -0.605196 -0.441802
0.320926 0.884186 0.339443
-0.503731 0.474912 0.721605
0.430854 0.19936 0.880125
-0.941178 0.259986 0.215852
0.363317 0.582639 -0.727003
-0.847804 0.515726 -0.123515
0.696831 0.426755 -0.57646
-0.694128 0.44015 0.569609
0.860141 -0.504787 0.0731341
0.832602 -0.39033 -0.392959
-0.0340449 -0.973542 0.225957
0.413827 -0.858957 -0.301564
0.554769 -0.378181 -0.741088
0.892051 -0.228066 0.390167
-0.719239 -0.627431 0.298373
-0.41528 -0.903767 -0.103674
0.604668 -0.275694 0.747241
-0.576742 0.255076 0.776083
-0.36368 0.0823102 -0.92788
-0.879922 0.473022 -0.0445897
-0.210678 -0.940051 0.268175
0.427239 0.0935786 0.899283
0.966409 0.232384 -0.109781
0.658419 0.600317 0.453987
0.940925 -0.338125 0.0182263
0.971304 -0.237728 0.00730131
0.0790751 -0.355954 -0.931152
0.242115 -0.590048 -0.77021
0.764645 -0.507347 0.397389
0.0421588 -0.992016 0.11886
0.708249 -0.68189 -0.182784
-0.520137 0.314249 -0.79417
0.143546 -0.563695 0.813414
-0.575854 0.4552 0.679106
0.810129 -0.584985 0.0385168
-0.470762 -0.597429 0.649201
0.558742 0.754935 0.343338
0.84951 0.204858 -0.486175
-0.203661 -0.537137 0.818539
-0.0981701 -0.993821 0.0517963
-0.793276 0.43705 -0.423912
0.282035 0.766076 -0.577567
0.6551 0.192293 -0.730663
0.282814 -0.0448355 0.958126
0.142352 -0.210527 0.967168
-0.626124 0.681141 0.379494
0.181223 0.873389 -0.452051
0.312367 -0.716563 0.62367
0.237826 -0.199511 0.950597
0.472327 0.778847 -0.412681
-0.419055 -0.862664 -0.283204
0.0421301 -0.736336 -0.675303
-0.0827328 -0.0457845 0.995519
0.55038 0.758498 -0.348946
0.615039 -0.220718 -0.756975
-0.141761 -0.16174 0.976598
0.562451 -0.708538 -0.426172
-0.408114 -0.196461 -0.891541
0.667984 -0.733449 0.125893
-0.872043 -0.151595 -0.465359
0.036135 -0.4676 -0.883201
-0.699941 0.225964 0.677512
0.49861 0.113661 0.859342
-0.601461 0.793456 0.0931244
-0.390575 0.634687 0.666801
0.981988 -0.0281022 0.186842
0.608398 0.775937 -0.166656
0.276276 0.952692 -0.126689
-0.322162 0.0450085 0.945614
0.586024 0.698979 -0.409883
0.274336 -0.911109 -0.307604
-0.5448 -0.0935322 -0.833334
-0.874062 -0.0890817 -0.477577
0.448446 -0.309906 -0.838364
-0.31753 0.377149 -0.870019
0.0337239 0.454623 -0.890045
-0.369184 0.143362 0.918232
0.066987 0.907451 0.414783
-0.183762 -0.708577 -0.681286
-0.106224 0.580743 0.807127
-0.969669 -0.0591486 -0.237156
-0.92869 -0.369761 0.028474
0.470688 -0.682035 0.559715
0.0407075 -0.970727 0.236711
-0.569753 -0.808602 0.146777
0.690877 0.0233869 0.722594
0.414915 0.900692 -0.128842
0.784914 0.0959524 0.61213
0.758411 -0.235223 -0.607851
0.467108 0.842809 0.267363
-0.113086 0.793835 -0.597526
-0.6364 0.771047 -0.0219319
0.671692 0.623378 -0.400286
0.122532 -0.916013 0.381977
0.278491 -0.563208 -0.777971
-0.726453 -0.68669 -0.0268667
0.34681 0.916905 0.197503
-0.117727 0.186083 0.975456
-0.154305 0.528699 0.834666
-0.200802 0.882553 -0.425181
-0.68123 -0.663671 -0.308977
0.341965 -0.353521 0.870679
0.591541 0.688962 -0.41882
-0.843811 0.0135624 0.536469
0.153691 -0.987056 -0.0458209
0.564535 -0.329142 0.756945
0.46929 0.0472862 0.881777
0.0701338 0.271715 0.959819
0.697088 0.557937 0.450305
0.585551 0.718792 -0.374791
0.942759 -0.0750293 0.324926
0.784779 -0.205092 -0.584858
-0.507532 -0.84524 0.167271
0.912264 0.065095 0.404397
0.469419 -0.839441 0.273834
-0.176976 -0.967404 0.181135
0.0779457 -0.405217 0.910892
-0.193055 0.245169 -0.950064
0.347833 0.75553 0.555145
-0.771257 0.634713 0.0479729
-0.607777 0.300118 0.735211
-0.226171 -0.402247 -0.887155
0.532571 0.496403 0.68553
-0.418825 -0.445159 0.791466
-0.975601 0.104821 0.192911
0.140624 -0.359644 -0.922432
0.665874 -0.744147 -0.0534442
-0.460919 0.712908 0.528503
0.00313134 0.3195 0.947581
0.597363 -0.0560469 0.80001
-0.798564 -0.439685 -0.411063
-0.372362 -0.923809 -0.0890144
-0.175817 0.984054 -0.026944
-0.221303 -0.873937 -0.432734
-0.0847807 0.988367 -0.126262
-0.643216 0.251507 -0.7232
-0.202903 0.907424 -0.367984
0.0247438 -0.34859 -0.936949
0.150424 -0.329136 -0.932224
0.592321 0.185627 0.784027
-0.76116 -0.181359 0.622691
-0.926427 -0.147975 0.346175
-0.778342 -0.110238 0.618087
0.190224 0.399312 -0.896864
-0.838583 0.543122 0.0423894
0.0421201 -0.786824 -0.615738
0.827286 -0.0131255 -0.561627
0.33027 -0.93726 -0.111646
0.580613 0.34117 -0.73925
-0.919385 -0.189505 0.344703
0.408784 0.65214 0.638443
0.14463 0.0736534 -0.986741
0.468346 -0.438181 -0.767235
-0.803153 -0.0336179 -0.594824
0.883356 0.254705 0.393455
-0.698057 0.71579 0.0189882
0.381505 0.612539 -0.692278
0.230663 -0.188376 -0.954625
-0.257478 -0.856275 0.447771
-0.846758 0.0357659 0.530775
0.524789 -0.258525 -0.811025
-0.0139484 0.907149 0.420577
0.773713 -0.0556488 0.631088
0.555502 0.373094 -0.743114
0.717701 0.678164 -0.158112
-0.31897 0.698734 -0.640335
-0.337345 -0.747797 0.571837
-0.981551 0.133302 -0.137069
-0.936376 -0.333979 -0.107976
0.71752 0.629059 -0.299082
-0.845073 -0.291981 -0.447883
-0.70427 0.276253 -0.653978
0.299159 -0.431213 -0.851211
0.279855 0.225012 -0.933301
0.377881 0.846764 0.374428
-0.228659 0.340875 0.911877
0.062116 0.641216 0.764843
0.264112 -0.95005 -0.166282
0.747342 0.534716 -0.39441
-0.945333 -0.197781 -0.259285
0.821408 -0.472275 0.319757
-0.531896 -0.841766 0.0922826
-0.922971 -0.31769 0.21725
-0.351885 0.0576847 0.934264
-0.459714 0.648906 0.606286
-0.172048 0.984915 -0.0184907
-0.566926 0.29977 -0.767289
0.0041135 0.834051 -0.551672
-0.907087 0.115445 -0.404803
0.531883 -0.196183 -0.82378
0.1392 -0.843516 -0.518753
0.291797 -0.762226 0.577812
-0.474171 0.204304 -0.856401
0.508589 -0.351585 0.785955
0.0999531 -0.989331 0.10599
0.554274 0.802933 -0.219269
-0.177745 -0.914622 0.363144
-0.688189 0.713869 -0.129564
-0.419278 0.689714 -0.59034
0.133935 -0.353669 -0.925732
-0.868326 0.420468 -0.263089
0.466793 -0.79114 -0.395224
-0.360937 -0.798775 0.481335
-0.193691 -0.621891 -0.758772
-0.54546 -0.480741 -0.686557
-0.919261 0.214726 0.329926
0.524809 0.656567 0.541752
-0.518277 0.723476 -0.456039
0.712295 0.440198 0.546683
-0.896132 -0.41773 -0.149829
0.149702 0.152318 0.976928
-0.0211634 -0.152371 -0.988097
-0.95969 0.183617 0.21279
-0.485067 0.874471 0.00311941
-0.177133 0.933993 -0.310292
0.693755 -0.269413 0.667923
0.500972 -0.596198 0.627355
-0.726789 0.342167 -0.595566
-0.292466 0.955591 -0.0361779
0.853012 0.505346 -0.130365
-0.357913 0.268425 -0.894342
-0.404007 -0.150638 -0.902267
0.243766 0.00403486 0.969826
0.735752 -0.33136 -0.590651
-0.28977 0.955073 -0.062191
0.575208 0.701648 0.420507
-0.0253563 0.0279818 0.999287
-0.525521 0.076818 0.847306
-0.732239 -0.501273 0.461034
-0.423559 0.80917 -0.407237
-0.65777 0.349349 -0.667304
0.176213 -0.0503622 -0.983063
0.965073 0.206231 0.161564
-0.856379 -0.438745 0.272245
-0.0533055 0.933332 0.355034
0.819683 0.0564766 0.570026
0.220453 -0.431669 0.874678
0.319056 -0.852902 -0.413232
0.523712 -0.545499 -0.654337
-0.0262009 -0.623269 -0.781568
0.446276 0.737402 0.507027
-0.0472695 -0.0115999 -0.998815
0.535991 0.488501 0.688536
0.30803 -0.949115 -0.0655534
0.78251 0.171767 -0.598476
-0.241152 -0.966943 -0.0828673
0.49023 -0.564058 0.664464
-0.366658 -0.627893 -0.686523
-0.71441 -0.118624 -0.689599
0.921776 0.227914 0.313662
0.681564 0.1112 -0.72326
0.896763 0.286254 -0.337454
-0.816493 -0.106836 -0.567385
-0.0556418 -0.664231 -0.745454
0.676319 -0.259128 0.689525
0.557207 -0.806095 -0.199328
0.516392 0.805306 0.291242
0.148797 -0.0769347 -0.98587
0.686685 -0.72661 -0.0223931
-0.967279 0.0458234 0.249541
-0.869984 0.427403 0.245874
0.484545 0.484161 -0.728563
-0.914473 -0.225495 0.335992
-0.934897 -0.274903 0.22449
-0.0135041 -0.957831 -0.287015
0.934939 -0.214777 -0.282417
0.579686 0.182882 -0.794052
0.0538297 -0.340084 0.938853
-0.095884 -0.297763 0.949812
0.071745 -0.0130537 -0.997338
0.1467 0.741103 0.655168
-0.570015 -0.815087 0.103519
-0.838714 0.155466 -0.52191
-0.97217 -0.0116182 -0.233989
0.855756 -0.425844 -0.293835
-0.727423 0.341196 0.595349
0.721371 -0.48347 -0.495864
0.42943 0.334826 -0.838738
-0.667898 0.708268 0.228624
-0.903254 -0.416745 0.102248
0.515282 0.546492 -0.660175
-0.527003 -0.672859 -0.519161
-0.658828 -0.718041 -0.224417
-0.680286 0.176607 0.711352
-0.538702 -0.0491681 0.841061
-0.211915 0.261596 0.941626
-0.953498 -0.237811 -0.185168
-0.971506 -0.234503 0.0344208
0.236073 -0.246164 0.940039
-0.470505 -0.403654 -0.784659
0.598558 -0.784559 -0.161854
0.220831 0.644752 -0.731798
-0.469788 0.311562 0.825971
0.585816 -0.766571 -0.263038
0.414919 0.844662 -0.338214
-0.500242 -0.222769 0.836739
0.259138 0.648888 -0.715396
-0.298695 0.387934 -0.871945
0.302016 -0.343254 0.889361
0.669071 0.712742 -0.210577
-0.43252 0.16747 0.885935
-0.849957 -0.479878 0.217465
-0.869993 -0.447207 0.207648
-0.716407 0.185758 -0.672499
0.392085 0.799861 -0.454414
0.233263 -0.955564 0.18024
0.905389 -0.267835 0.329446
-0.495297 -0.565057 0.659842
0.851416 -0.33852 -0.400619
0.740003 -0.207287 -0.639866
0.305864 0.758783 0.575062
0.23601 0.736032 -0.634473
-0.0700665 0.678225 0.731507
0.45812 0.776563 -0.432523
0.687828 -0.722219 0.0727558
0.146539 0.924564 -0.351721
0.79252 -0.476866 0.380146
-0.359713 0.886616 0.29072
-0.71316 0.183203 -0.676639
0.287878 -0.116859 0.95051
0.319094 -0.516774 0.794433
0.692371 -0.356182 0.627501
-0.112433 -0.894659 -0.432371
0.206085 -0.873883 -0.440293
-0.0337542 -0.796352 0.603891
-0.55916 0.806333 0.192789
-0.894869 -0.268526 0.356515
0.555172 0.8193 -0.143289
0.10476 0.983876 0.144962
0.589926 0.775928 0.223433
0.658514 0.578025 0.481919
-0.296315 -0.145628 -0.943923
0.295775 -0.359001 -0.885232
-0.888105 0.455908 0.0584586
0.661697 0.684135 -0.306786
0.0532603 0.821515 0.567695
-0.170509 -0.930735 0.32351
0.0269399 0.948237 -0.316419
0.515583 -0.800515 0.305533
0.223572 0.971662 -0.0767319
0.0184925 -0.999716 0.0150433
-0.203655 0.684631 0.69986
-0.584013 -0.811671 -0.0108781
-0.473136 -0.662606 0.580599
0.96071 -0.0584378 -0.271332
0.58386 -0.561868 0.586013
0.122639 0.00512578 0.992438
0.787973 -0.445597 0.424903
-0.0975126 0.172202 0.980223
-0.531352 0.820728 0.209931
0.670951 0.0455453 -0.740101
0.612668 0.543089 0.574188
-0.347355 -0.435025 0.830721
0.223128 0.974755 0.00814417
-0.958845 -0.283729 0.0106446
0.496869 0.858345 -0.127929
-0.399692 0.91487 0.0570931
-0.0399019 -0.291735 0.955667
-0.132133 -0.973395 0.187197
0.640976 -0.594315 0.485736
0.575475 0.173416 -0.799222
-0.317819 -0.659325 -0.681382
-0.577657 -0.206214 0.789802
-0.153265 -0.97654 0.151259
0.853946 -0.520299 -0.00810117
0.607104 0.0420794 -0.793507
0.251767 0.669935 0.698428
0.943778 -0.248889 0.217571
-0.318855 -0.947092 -0.0367053
0.919437 0.354224 0.170767
0.65476 0.608849 -0.447875
-0.846984 -0.43265 -0.308919
-0.812314 -0.425155 -0.399236
-0.604032 -0.713502 -0.355049
-0.588113 0.0747586 -0.805316
-0.843833 0.181135 -0.50511
0.995568 -0.065096 -0.0678701
-0.34564 0.0665552 -0.936004
-0.281755 0.952381 -0.116548
-0.971068 0.110535 0.211682
0.804461 0.368695 -0.465733
-0.818933 -0.502932 0.27642
-0.31987 -0.398008 0.85981
-0.184991 -0.928418 0.322208
0.912511 -0.295931 -0.282396
0.837484 0.436668 -0.328545
0.0392154 0.521014 -0.852647
-0.47103 0.656691 0.588971
-0.0756599 0.0130409 -0.997048
0.640813 -0.409867 0.649129
0.17551 0.357725 0.917186
-0.854002 -0.236617 -0.46335
0.492907 0.70809 -0.505619
-0.37696 -0.921906 0.089385
-0.049258 0.998217 -0.0337158
0.0731057 0.689182 -0.720891
0.520768 0.586446 0.620388
-0.514492 0.837355 -0.184754
-0.53322 -0.675413 0.509405
-0.887292 0.441918 0.131994
-0.435965 -0.0686834 0.897339
-0.720052 0.649012 0.245578
0.397431 -0.762767 -0.510133
0.153438 -0.0482769 0.986978
0.0339048 -0.873721 0.485245
-0.422658 0.899787 0.108364
0.294965 0.169294 -0.940391
-0.852623 -0.406568 0.328232
-0.202973 0.920072 -0.335066
0.222674 0.346083 0.911396
0.108546 0.263624 -0.958499
-0.707493 -0.328711 0.625622
0.754124 0.655727 -0.0363299
0.319982 -0.747408 0.582231
0.853457 0.228973 -0.46817
-0.224924 -0.574308 0.787134
-0.251683 -0.509087 -0.823096
-0.0932333 0.991211 0.0938518
-0.119654 0.155419 0.980575
-0.108687 -0.988835 0.101941
0.932524 -0.0959081 0.34814
0.979692 0.133166 -0.149901
-0.951245 -0.302798 -0.0586967
-0.373915 0.0656998 0.925133
-0.992601 -0.102886 -0.0644772
-0.160332 0.234743 -0.958744
0.257174 -0.936432 0.238656
0.110045 -0.369214 -0.922806
0.9164 -0.209197 -0.341245
0.537746 -0.838951 0.083612
-0.845076 0.484668 -0.225708
0.310279 0.0109647 0.950582
0.652982 -0.687881 0.316914
0.24038 -0.694647 0.677999
0.155151 0.0862467 0.984119
0.911017 -0.0354419 -0.410842
0.761554 -0.564822 0.317824
-0.21998 0.972643 0.0746692
-0.438018 -0.832418 -0.339441
0.0968666 0.307092 -0.946737
-0.858164 0.282496 -0.428661
0.766155 -0.642594 -0.00896232
0.105025 0.964878 0.240791
-0.954489 -0.0843818 0.28606
-0.640855 -0.232569 -0.731585
-0.469177 0.74967 -0.466763
0.263175 -0.663643 0.700227
0.0546331 0.43196 -0.900236
-0.360596 0.145281 -0.921338
0.63174 -0.280358 0.722706
0.10727 0.993707 0.0322489
-0.0110319 0.145379 -0.989315
0.631559 0.705119 0.322398
0.183405 -0.554998 -0.811381
0.65362 -0.702983 0.280349
-0.357829 0.541373 -0.760838
-0.575446 -0.772833 0.267566
0.575359 -0.753339 -0.318501
-0.740293 -0.621854 -0.255468
-0.394051 0.707756 0.586349
0.98359 -0.140383 0.113332
-0.934816 -0.279735 -0.218784
0.772011 0.635112 0.0251125
0.865915 0.500191 -0.000798144
0.533465 -0.58009 -0.615557
-0.279501 -0.216141 -0.935501
